2026-06-05 00:47:21 WAT LOG:  début du checkpoint : time
2026-06-05 01:42:24 WAT LOG:  checkpoint complete: wrote 29 buffers (0.2%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=3.169 s, sync=0.008 s, total=3.185 s; sync files=14, longest=0.003 s, average=0.001 s; distance=182 kB, estimate=439 kB; lsn=0/115BCD00, redo lsn=0/115BCCA8
2026-06-05 01:47:21 WAT LOG:  début du checkpoint : time
2026-06-05 01:47:27 WAT LOG:  checkpoint complete: wrote 51 buffers (0.3%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=5.568 s, sync=0.010 s, total=5.585 s; sync files=18, longest=0.003 s, average=0.001 s; distance=314 kB, estimate=426 kB; lsn=0/1160B658, redo lsn=0/1160B600
2026-06-05 01:52:21 WAT LOG:  début du checkpoint : time
2026-06-05 01:52:23 WAT LOG:  checkpoint complete: wrote 23 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=2.547 s, sync=0.009 s, total=2.567 s; sync files=14, longest=0.003 s, average=0.001 s; distance=148 kB, estimate=399 kB; lsn=0/11630700, redo lsn=0/116306A8
2026-06-05 01:57:21 WAT LOG:  début du checkpoint : time
2026-06-05 01:57:24 WAT LOG:  checkpoint complete: wrote 20 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=2.198 s, sync=0.006 s, total=2.212 s; sync files=13, longest=0.001 s, average=0.001 s; distance=122 kB, estimate=371 kB; lsn=0/1164F1C8, redo lsn=0/1164F138
2026-06-05 02:02:21 WAT LOG:  début du checkpoint : time
2026-06-05 02:02:23 WAT LOG:  checkpoint complete: wrote 19 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=2.073 s, sync=0.007 s, total=2.088 s; sync files=13, longest=0.003 s, average=0.001 s; distance=126 kB, estimate=346 kB; lsn=0/1166EC08, redo lsn=0/1166EBB0
2026-06-05 02:07:21 WAT LOG:  début du checkpoint : time
2026-06-05 02:07:26 WAT LOG:  checkpoint complete: wrote 49 buffers (0.3%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=5.340 s, sync=0.075 s, total=5.432 s; sync files=33, longest=0.009 s, average=0.003 s; distance=283 kB, estimate=340 kB; lsn=0/116B5B58, redo lsn=0/116B5AC8
2026-06-05 02:12:21 WAT LOG:  début du checkpoint : time
2026-06-05 02:12:26 WAT LOG:  checkpoint complete: wrote 41 buffers (0.3%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=4.467 s, sync=0.011 s, total=4.486 s; sync files=21, longest=0.003 s, average=0.001 s; distance=214 kB, estimate=328 kB; lsn=0/116EB678, redo lsn=0/116EB620
2026-06-05 02:17:21 WAT LOG:  début du checkpoint : time
2026-06-05 02:17:25 WAT LOG:  checkpoint complete: wrote 42 buffers (0.3%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=4.575 s, sync=0.008 s, total=4.591 s; sync files=18, longest=0.001 s, average=0.001 s; distance=268 kB, estimate=322 kB; lsn=0/1172E8B0, redo lsn=0/1172E820
2026-06-05 02:22:21 WAT LOG:  début du checkpoint : time
2026-06-05 02:22:23 WAT LOG:  checkpoint complete: wrote 17 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=1.869 s, sync=0.007 s, total=1.883 s; sync files=13, longest=0.003 s, average=0.001 s; distance=109 kB, estimate=300 kB; lsn=0/11749CD8, redo lsn=0/11749C80
2026-06-05 02:27:21 WAT LOG:  début du checkpoint : time
2026-06-05 02:27:24 WAT LOG:  checkpoint complete: wrote 22 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=2.394 s, sync=0.008 s, total=2.410 s; sync files=13, longest=0.004 s, average=0.001 s; distance=129 kB, estimate=283 kB; lsn=0/1176A368, redo lsn=0/1176A310
2026-06-05 02:32:21 WAT LOG:  début du checkpoint : time
2026-06-05 02:32:22 WAT LOG:  checkpoint complete: wrote 16 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=1.732 s, sync=0.007 s, total=1.747 s; sync files=13, longest=0.003 s, average=0.001 s; distance=88 kB, estimate=264 kB; lsn=0/11780648, redo lsn=0/117805B8
2026-06-05 02:37:21 WAT LOG:  début du checkpoint : time
2026-06-05 02:37:23 WAT LOG:  checkpoint complete: wrote 16 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=1.760 s, sync=0.008 s, total=1.774 s; sync files=13, longest=0.003 s, average=0.001 s; distance=87 kB, estimate=246 kB; lsn=0/11796458, redo lsn=0/11796400
2026-06-05 05:22:24 WAT LOG:  n'a pas pu recevoir les donnÃ©es du client : An existing connection was forcibly closed by the remote host.
	
2026-06-05 05:22:24 WAT LOG:  n'a pas pu recevoir les donnÃ©es du client : An existing connection was forcibly closed by the remote host.
	
2026-06-05 05:22:24 WAT LOG:  n'a pas pu recevoir les donnÃ©es du client : An existing connection was forcibly closed by the remote host.
	
2026-06-05 05:22:24 WAT LOG:  n'a pas pu recevoir les donnÃ©es du client : An existing connection was forcibly closed by the remote host.
	
2026-06-05 11:59:09 WAT LOG:  début du checkpoint : time
2026-06-05 11:59:12 WAT LOG:  checkpoint complete: wrote 23 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=2.491 s, sync=0.059 s, total=2.574 s; sync files=24, longest=0.009 s, average=0.003 s; distance=115 kB, estimate=233 kB; lsn=0/117B3448, redo lsn=0/117B33F0
2026-06-05 12:09:09 WAT LOG:  début du checkpoint : time
2026-06-05 12:09:15 WAT LOG:  checkpoint complete: wrote 51 buffers (0.3%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=5.563 s, sync=0.014 s, total=5.584 s; sync files=33, longest=0.003 s, average=0.001 s; distance=310 kB, estimate=310 kB; lsn=0/11801030, redo lsn=0/11800FA0
2026-06-05 12:14:09 WAT LOG:  début du checkpoint : time
2026-06-05 12:14:11 WAT LOG:  checkpoint complete: wrote 19 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=2.065 s, sync=0.008 s, total=2.080 s; sync files=13, longest=0.003 s, average=0.001 s; distance=117 kB, estimate=291 kB; lsn=0/1181E7E8, redo lsn=0/1181E790
2026-06-05 12:19:09 WAT LOG:  début du checkpoint : time
2026-06-05 12:19:10 WAT LOG:  checkpoint complete: wrote 17 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=1.851 s, sync=0.008 s, total=1.864 s; sync files=13, longest=0.003 s, average=0.001 s; distance=103 kB, estimate=272 kB; lsn=0/118384D0, redo lsn=0/11838478
2026-06-05 12:24:10 WAT LOG:  début du checkpoint : time
2026-06-05 12:24:11 WAT LOG:  checkpoint complete: wrote 18 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=1.959 s, sync=0.006 s, total=1.972 s; sync files=13, longest=0.001 s, average=0.001 s; distance=108 kB, estimate=256 kB; lsn=0/118534F0, redo lsn=0/11853498
